filename,VehId,DayNum,Trip,Y_consumption_combustion_L_per_100km,Y_consumption_electric_kWh_per_km
Trip_1814_VED_180509_week,306,191.796574241,1814,0.0,0.0
Trip_2298_VED_181017_week,542,352.738865389,2298,6.623059780902841,0.0735842215308593
Trip_1389_VED_180124_week,209,85.5608888148,1389,0.0,0.0
Trip_1452_VED_180411_week,246,164.852062852,1452,0.0,0.0
Trip_1689_VED_180131_week,123,95.9990481296,1689,0.0,0.0
Trip_2781_VED_180822_week,521,296.54529512,2781,0.0,0.0
Trip_1013_VED_180606_week,579,218.815165787,1013,0.0,0.0
Trip_1979_VED_180829_week,115,308.935245556,1979,0.0,0.0
Trip_1345_VED_180509_week,357,191.795724222,1345,0.0,0.0
Trip_3040_VED_180627_week,457,240.416308713,3040,0.0,0.0
Trip_1028_VED_171101_week,195,4.67194438889,1028,0.0,0.0
Trip_714_VED_171108_week,415,9.49849884259,714,0.0,0.0
Trip_1858_VED_180829_week,388,308.913449426,1858,0.0,0.0
Trip_112_VED_171129_week,560,32.6184801019,112,0.0,0.0
Trip_367_VED_171227_week,564,57.6457360185,367,0.0,0.0
Trip_3614_VED_181010_week,449,347.862327713,3614,0.0,0.115432614006353
Trip_974_VED_181017_week,577,353.890224815,974,0.0,0.0
Trip_1973_VED_180905_week,156,312.795894843,1973,0.0,0.0
Trip_1249_VED_171206_week,255,37.5315832778,1249,0.0,0.0
Trip_1407_VED_171129_week,140,34.0823970463,1407,0.0,0.0
Trip_308_VED_171206_week,489,39.6356941852,308,0.0,0.0
Trip_103_VED_171122_week,604,23.9385545463,103,0.0,0.0
Trip_257_VED_180110_week,560,75.6568268148,257,0.0,0.0072849498461066
Trip_2180_VED_180725_week,213,269.563231574,2180,0.0,0.0
Trip_1213_VED_181010_week,392,345.960862713,1213,0.0,0.0
Trip_2649_VED_181031_week,565,365.874774454,2649,0.0,0.0
Trip_1609_VED_180530_week,355,214.769539278,1609,0.0,0.0
Trip_1398_VED_180425_week,459,179.524460519,1398,0.0,0.0
Trip_1401_VED_180523_week,458,205.767604296,1401,0.0,0.0
Trip_1943_VED_180912_week,201,316.633469102,1943,0.0,0.0
Trip_853_VED_180808_week,595,284.489279685,853,0.0,0.0
Trip_4406_VED_181031_week,155,368.895623713,4406,0.0,0.0
Trip_1485_VED_180418_week,450,172.600873343,1485,0.0,0.0
Trip_1698_VED_180704_week,124,247.030228741,1698,0.0,0.0
Trip_941_VED_171213_week,124,46.19466125,941,0.0,0.0
Trip_1633_VED_180509_week,411,195.850751833,1633,0.0,0.0
Trip_1481_VED_180523_week,540,210.66975075,1481,0.0,0.0
Trip_2870_VED_180502_week,266,187.509409519,2870,0.0,0.0
Trip_1297_VED_180207_week,483,104.917525889,1297,0.0,0.0
Trip_1158_VED_180919_week,574,323.954147796,1158,0.0,0.0
Trip_1626_VED_180516_week,450,198.85262513,1626,0.0,0.0
Trip_2157_VED_180530_week,575,215.838839546,2157,0.0,0.0
Trip_2110_VED_180801_week,465,274.892633583,2110,0.0,0.0
Trip_3009_VED_181024_week,531,362.881814046,3009,0.0,0.0
Trip_3201_VED_180620_week,371,233.7181485,3201,0.0,0.0
Trip_1686_VED_180418_week,569,171.752480454,1686,0.0,0.0
Trip_1053_VED_180704_week,372,246.41036675,1053,0.0,0.0
Trip_1339_VED_180110_week,192,74.9487083519,1339,0.0,0.0
Trip_2571_VED_180718_week,575,262.844865426,2571,0.0,0.0
Trip_1822_VED_181031_week,130,368.634489769,1822,0.0,0.0
Trip_2510_VED_180207_week,347,100.918715389,2510,0.0,0.0
Trip_1838_VED_180124_week,10,87.9056955278,1838,0.0,0.0
Trip_1115_VED_171220_week,521,51.8892242963,1115,0.0,0.0
Trip_1201_VED_180307_week,355,131.695993917,1201,0.0,0.0
Trip_1038_VED_180627_week,372,240.923692278,1038,0.0,0.0
Trip_1069_VED_180110_week,405,76.0062788426,1069,0.0,0.0
Trip_2117_VED_180905_week,462,310.943529139,2117,0.0,0.0
Trip_1111_VED_180110_week,181,72.0476103241,1111,0.0,0.0
Trip_1520_VED_180523_week,470,205.478120537,1520,0.0,0.0
Trip_2227_VED_180502_week,250,185.548264676,2227,0.0,0.0
Trip_2297_VED_180704_week,550,250.818569759,2297,0.0,0.0
Trip_649_VED_171108_week,565,13.5645634352,649,0.0,0.0
Trip_1367_VED_180509_week,282,191.925290028,1367,0.0,0.0
Trip_2813_VED_180926_week,531,334.899136685,2813,0.0,0.0
Trip_1789_VED_180103_week,370,66.6265611018,1789,0.0,0.0
Trip_1736_VED_180418_week,174,169.902327269,1736,0.0,0.0
Trip_2097_VED_181017_week,384,351.888019509,2097,0.0,0.0
Trip_513_VED_171115_week,382,16.8093172407,513,0.0,0.0
Trip_1043_VED_180321_week,267,145.579136981,1043,0.0,0.0
Trip_1158_VED_180228_week,557,125.422718037,1158,0.0,0.0
Trip_952_VED_180620_week,560,235.568614898,952,0.0,0.0
Trip_1900_VED_180425_week,154,178.656470824,1900,0.0,0.0
Trip_1069_VED_171108_week,218,14.7634685648,1069,0.0,0.0
Trip_1942_VED_180117_week,311,79.7858832685,1942,0.0,0.0
Trip_993_VED_180314_week,447,139.544046722,993,0.0,0.0
