DayNum,VehId,Trip,Timestamp(ms),Latitude[deg],Longitude[deg],Vehicle Speed[km/h],MAF[g/sec],Engine RPM[RPM],Absolute Load[%],OAT[DegC],Fuel Rate[L/hr],Air Conditioning Power[kW],Air Conditioning Power[Watts],Heater Power[Watts],HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V],Short Term Fuel Trim Bank 1[%],Short Term Fuel Trim Bank 2[%],Long Term Fuel Trim Bank 1[%],Long Term Fuel Trim Bank 2[%]
10.9357839352,249,1008,0,42.2425916667,-83.7983211111,0.0,3.72000002861,495.0,,,,,,,,,,0.0,2.34375,9.375,9.375
10.9357839352,249,1008,300,42.2425916667,-83.7983211111,0.0,4.36999988556,495.0,,,,,,,,,,0.0,2.34375,9.375,9.375
10.9357839352,249,1008,1000,42.2425916667,-83.7983211111,0.0,4.36999988556,1315.0,,,,,,,,,,0.0,2.34375,9.375,9.375
10.9357839352,249,1008,1200,42.2425916667,-83.7983211111,0.0,22.2999992371,1315.0,,,,,,,,,,0.0,2.34375,9.375,9.375
10.9357839352,249,1008,2300,42.2425916667,-83.7983211111,0.0,22.2999992371,1315.0,,,,,,,,,,3.125,2.34375,9.375,9.375
10.9357839352,249,1008,2500,42.2425916667,-83.7983211111,0.0,22.2999992371,1315.0,,,,,,,,,,3.125,4.6875,9.375,9.375
10.9357839352,249,1008,2800,42.2425916667,-83.7983211111,18.0,22.2999992371,1315.0,,,,,,,,,,3.125,4.6875,9.375,9.375
10.9357839352,249,1008,3000,42.24258,-83.7982491667,18.0,22.2999992371,1726.0,,,,,,,,,,3.125,4.6875,9.375,9.375
10.9357839352,249,1008,3500,42.24258,-83.7982491667,18.0,32.0299987793,1726.0,,,,,,,,,,3.125,4.6875,9.375,9.375
10.9357839352,249,1008,5400,42.24258,-83.7982491667,25.0,32.0299987793,2086.0,,,,,,,,,,3.125,4.6875,9.375,9.375
10.9357839352,249,1008,5600,42.24258,-83.7982491667,25.0,24.6499996185,2086.0,,,,,,,,,,3.125,4.6875,9.375,9.375
10.9357839352,249,1008,6900,42.24258,-83.7982491667,30.0,24.6499996185,2086.0,,,,,,,,,,3.125,4.6875,9.375,9.375
10.9357839352,249,1008,7000,42.2425744444,-83.7979,30.0,24.6499996185,2086.0,,,,,,,,,,3.125,4.6875,9.375,9.375
10.9357839352,249,1008,7700,42.2425744444,-83.7979,30.0,45.4099998474,1940.0,,,,,,,,,,3.125,4.6875,9.375,9.375
10.9357839352,249,1008,8200,42.2425744444,-83.7979,37.0,45.4099998474,1940.0,,,,,,,,,,3.125,4.6875,9.375,9.375
10.9357839352,249,1008,9300,42.2425744444,-83.7979,44.0,45.4099998474,1940.0,,,,,,,,,,3.125,4.6875,9.375,9.375
10.9357839352,249,1008,9800,42.2425744444,-83.7979,44.0,47.6300010681,2007.0,,,,,,,,,,3.125,4.6875,9.375,9.375
10.9357839352,249,1008,10100,42.2425816667,-83.7974775,44.0,47.6300010681,2007.0,,,,,,,,,,3.125,4.6875,9.375,9.375
10.9357839352,249,1008,10700,42.2425816667,-83.7974775,49.0,47.6300010681,2007.0,,,,,,,,,,3.125,4.6875,9.375,9.375
10.9357839352,249,1008,12100,42.2425816667,-83.7974775,53.0,51.7299995422,2377.0,,,,,,,,,,3.125,4.6875,9.375,9.375
10.9357839352,249,1008,12700,42.2425816667,-83.7974775,53.0,51.7299995422,2377.0,,,,,,,,,,-2.34375,0.0,9.375,9.375
10.9357839352,249,1008,13100,42.2425941667,-83.7969461111,53.0,51.7299995422,2377.0,,,,,,,,,,-2.34375,0.0,9.375,9.375
10.9357839352,249,1008,13500,42.2425941667,-83.7969461111,57.0,51.7299995422,2377.0,,,,,,,,,,-2.34375,0.0,9.375,9.375
10.9357839352,249,1008,14100,42.2425941667,-83.7969461111,57.0,44.5099983215,1871.0,,,,,,,,,,-2.34375,0.0,9.375,9.375
10.9357839352,249,1008,14600,42.2425941667,-83.7969461111,61.0,44.5099983215,1871.0,,,,,,,,,,-2.34375,0.0,9.375,9.375
10.9357839352,249,1008,16100,42.2426044444,-83.7963316667,61.0,44.5099983215,1871.0,,,,,,,,,,-2.34375,0.0,9.375,9.375
10.9357839352,249,1008,16500,42.2426044444,-83.7963316667,61.0,44.8199996948,1917.0,,,,,,,,,,-2.34375,0.0,9.375,9.375
10.9357839352,249,1008,17000,42.2426044444,-83.7963316667,64.0,44.8199996948,1917.0,,,,,,,,,,-2.34375,0.0,9.375,9.375
10.9357839352,249,1008,17800,42.2426044444,-83.7963316667,64.0,44.8199996948,1917.0,,,,,,,,,,2.34375,0.0,9.375,9.375
10.9357839352,249,1008,17900,42.2426044444,-83.7963316667,64.0,44.8199996948,1917.0,,,,,,,,,,2.34375,-0.78125,9.375,9.375
10.9357839352,249,1008,18400,42.2426044444,-83.7963316667,67.0,44.8199996948,1917.0,,,,,,,,,,2.34375,-0.78125,9.375,9.375
10.9357839352,249,1008,18500,42.2426044444,-83.7963316667,67.0,46.4000015259,1960.0,,,,,,,,,,2.34375,-0.78125,9.375,9.375
10.9357839352,249,1008,19800,42.2426044444,-83.7963316667,69.0,46.4000015259,1960.0,,,,,,,,,,2.34375,-0.78125,9.375,9.375
10.9357839352,249,1008,20100,42.2426038889,-83.7954402778,69.0,46.4000015259,1960.0,,,,,,,,,,2.34375,-0.78125,9.375,9.375
10.9357839352,249,1008,20900,42.2426038889,-83.7954402778,71.0,41.4000015259,1936.0,,,,,,,,,,2.34375,-0.78125,9.375,9.375
10.9357839352,249,1008,22900,42.2426038889,-83.7954402778,71.0,43.6399993896,1960.0,,,,,,,,,,-3.125,-0.78125,9.375,9.375
10.9357839352,249,1008,23000,42.2426122222,-83.7947375,71.0,43.6399993896,1960.0,,,,,,,,,,-3.125,3.125,9.375,9.375
10.9357839352,249,1008,25000,42.2426122222,-83.7947375,71.0,43.6399993896,1957.0,,,,,,,,,,-3.125,3.125,9.375,9.375
10.9357839352,249,1008,27100,42.2426080556,-83.7938119444,71.0,43.6399993896,1957.0,,,,,,,,,,-3.125,3.125,9.375,9.375
10.9357839352,249,1008,27200,42.2426080556,-83.7938119444,71.0,43.3899993896,1960.0,,,,,,,,,,-3.125,3.125,9.375,9.375
10.9357839352,249,1008,28000,42.2426080556,-83.7938119444,71.0,43.3899993896,1960.0,,,,,,,,,,-3.125,0.0,9.375,9.375
10.9357839352,249,1008,28600,42.2426080556,-83.7938119444,72.0,43.3899993896,1960.0,,,,,,,,,,-3.125,0.0,9.375,9.375
10.9357839352,249,1008,29500,42.2426080556,-83.7938119444,72.0,45.1399993896,1965.0,,,,,,,,,,-3.125,0.0,9.375,9.375
10.9357839352,249,1008,30100,42.2426022222,-83.7930936111,73.0,45.1399993896,1965.0,,,,,,,,,,-3.125,0.0,9.375,9.375
10.9357839352,249,1008,31500,42.2426022222,-83.7930936111,75.0,44.4599990845,1837.0,,,,,,,,,,-3.125,0.0,9.375,9.375
10.9357839352,249,1008,32600,42.2426022222,-83.7930936111,77.0,44.4599990845,1837.0,,,,,,,,,,-3.125,0.0,9.375,9.375
10.9357839352,249,1008,33100,42.2426,-83.7923369444,77.0,44.4599990845,1837.0,,,,,,,,,,-2.34375,0.0,9.375,9.375
10.9357839352,249,1008,33600,42.2426,-83.7923369444,77.0,44.4599990845,1800.0,,,,,,,,,,-2.34375,0.0,9.375,9.375
10.9357839352,249,1008,33700,42.2426,-83.7923369444,78.0,44.4599990845,1800.0,,,,,,,,,,-2.34375,0.0,9.375,9.375
10.9357839352,249,1008,35600,42.2426,-83.7923369444,78.0,39.7000007629,1795.0,,,,,,,,,,-2.34375,0.0,9.375,9.375
10.9357839352,249,1008,36100,42.2426047222,-83.7915527778,79.0,39.7000007629,1795.0,,,,,,,,,,-2.34375,0.0,9.375,9.375
10.9357839352,249,1008,37500,42.2426047222,-83.7915527778,80.0,39.7000007629,1795.0,,,,,,,,,,-2.34375,0.0,9.375,9.375
10.9357839352,249,1008,37700,42.2426047222,-83.7915527778,80.0,35.6300010681,1459.0,,,,,,,,,,-2.34375,0.0,9.375,9.375
10.9357839352,249,1008,38600,42.2426047222,-83.7915527778,82.0,35.6300010681,1459.0,,,,,,,,,,-0.78125,0.0,9.375,9.375
10.9357839352,249,1008,39000,42.2426152778,-83.7907411111,82.0,35.6300010681,1459.0,,,,,,,,,,-0.78125,0.0,9.375,9.375
10.9357839352,249,1008,40000,42.2426152778,-83.7907411111,84.0,35.5900001526,1432.0,,,,,,,,,,-0.78125,0.0,9.375,9.375
10.9357839352,249,1008,41400,42.2426152778,-83.7907411111,85.0,35.5900001526,1432.0,,,,,,,,,,-0.78125,0.0,9.375,9.375
10.9357839352,249,1008,42000,42.2426152778,-83.7907411111,85.0,35.5900001526,1451.0,,,,,,,,,,-0.78125,0.0,9.375,9.375
10.9357839352,249,1008,42100,42.2426386111,-83.7898922222,85.0,36.6699981689,1451.0,,,,,,,,,,-0.78125,0.0,9.375,9.375
10.9357839352,249,1008,42800,42.2426386111,-83.7898922222,86.0,36.6699981689,1451.0,,,,,,,,,,-0.78125,0.0,9.375,9.375
10.9357839352,249,1008,43700,42.2426386111,-83.7898922222,86.0,36.6699981689,1451.0,,,,,,,,,,-0.78125,-0.78125,9.375,9.375
10.9357839352,249,1008,44400,42.2426386111,-83.7898922222,86.0,38.4199981689,1475.0,,,,,,,,,,-0.78125,-0.78125,9.375,9.375
10.9357839352,249,1008,46100,42.2426566667,-83.7887383333,86.0,38.4199981689,1475.0,,,,,,,,,,-0.78125,-0.78125,9.375,9.375
10.9357839352,249,1008,46300,42.2426566667,-83.7887383333,87.0,38.4199981689,1475.0,,,,,,,,,,-0.78125,-0.78125,9.375,9.375
10.9357839352,249,1008,46400,42.2426566667,-83.7887383333,87.0,37.4399986267,1488.0,,,,,,,,,,-0.78125,-0.78125,9.375,9.375
10.9357839352,249,1008,47700,42.2426566667,-83.7887383333,89.0,37.4399986267,1488.0,,,,,,,,,,-0.78125,-0.78125,9.375,9.375
10.9357839352,249,1008,48600,42.2426566667,-83.7887383333,89.0,36.7099990845,1523.0,,,,,,,,,,-0.78125,-0.78125,9.375,9.375
10.9357839352,249,1008,49100,42.2426797222,-83.787835,91.0,36.7099990845,1523.0,,,,,,,,,,-0.78125,-0.78125,9.375,9.375
10.9357839352,249,1008,50200,42.2426797222,-83.787835,92.0,36.7099990845,1523.0,,,,,,,,,,-0.78125,-0.78125,9.375,9.375
10.9357839352,249,1008,50700,42.2426797222,-83.787835,92.0,37.2700004578,1549.0,,,,,,,,,,-0.78125,-0.78125,9.375,9.375
10.9357839352,249,1008,51600,42.2426797222,-83.787835,93.0,37.2700004578,1549.0,,,,,,,,,,-0.78125,-0.78125,9.375,9.375
10.9357839352,249,1008,52000,42.2427008333,-83.7869061111,93.0,37.2700004578,1549.0,,,,,,,,,,-0.78125,-0.78125,9.375,9.375
10.9357839352,249,1008,53000,42.2427008333,-83.7869061111,92.0,7.21999979019,1545.0,,,,,,,,,,-0.78125,-0.78125,9.375,9.375
10.9357839352,249,1008,54300,42.2427008333,-83.7869061111,90.0,7.21999979019,1545.0,,,,,,,,,,3.90625,-0.78125,9.375,9.375
10.9357839352,249,1008,55000,42.2427394444,-83.7859808333,90.0,7.13999986649,1513.0,,,,,,,,,,3.90625,-0.78125,9.375,9.375
10.9357839352,249,1008,55400,42.2427394444,-83.7859808333,89.0,7.13999986649,1513.0,,,,,,,,,,3.90625,-0.78125,9.375,9.375
10.9357839352,249,1008,57400,42.2427394444,-83.7859808333,89.0,7.13999986649,1457.0,,,,,,,,,,3.90625,-0.78125,9.375,9.375
10.9357839352,249,1008,57900,42.2427394444,-83.7859808333,87.0,7.13999986649,1457.0,,,,,,,,,,3.90625,-0.78125,9.375,9.375
10.9357839352,249,1008,58100,42.2427616667,-83.7851080556,87.0,7.13999986649,1457.0,,,,,,,,,,3.90625,-0.78125,9.375,9.375
10.9357839352,249,1008,59300,42.2427616667,-83.7851080556,85.0,7.13999986649,1457.0,,,,,,,,,,0.0,-0.78125,9.375,9.375
10.9357839352,249,1008,59400,42.2427616667,-83.7851080556,85.0,6.92999982834,1415.0,,,,,,,,,,0.0,2.34375,9.375,9.375
10.9357839352,249,1008,60700,42.2427616667,-83.7851080556,84.0,6.92999982834,1415.0,,,,,,,,,,0.0,2.34375,9.375,9.375
10.9357839352,249,1008,61100,42.2427772222,-83.7842663889,84.0,6.92999982834,1415.0,,,,,,,,,,0.0,2.34375,9.375,9.375
10.9357839352,249,1008,61800,42.2427772222,-83.7842663889,82.0,6.63999986649,1352.0,,,,,,,,,,0.0,2.34375,9.375,9.375
10.9357839352,249,1008,63200,42.2427772222,-83.7842663889,81.0,6.63999986649,1352.0,,,,,,,,,,0.0,2.34375,9.375,9.375
10.9357839352,249,1008,63900,42.2427772222,-83.7842663889,81.0,6.63999986649,1340.0,,,,,,,,,,0.0,2.34375,9.375,9.375
10.9357839352,249,1008,64200,42.2427941667,-83.7834494444,81.0,6.63999986649,1340.0,,,,,,,,,,0.0,2.34375,9.375,9.375
10.9357839352,249,1008,64300,42.2427941667,-83.7834494444,79.0,6.63999986649,1340.0,,,,,,,,,,0.0,2.34375,9.375,9.375
10.9357839352,249,1008,64400,42.2427941667,-83.7834494444,79.0,6.63999986649,1340.0,,,,,,,,,,-3.90625,2.34375,9.375,9.375
10.9357839352,249,1008,64900,42.2427941667,-83.7834494444,79.0,6.63999986649,1340.0,,,,,,,,,,-3.90625,3.125,9.375,9.375
10.9357839352,249,1008,66300,42.2427941667,-83.7834494444,79.0,22.8600006104,1406.0,,,,,,,,,,-3.90625,3.125,9.375,9.375
10.9357839352,249,1008,66900,42.2427941667,-83.7834494444,78.0,22.8600006104,1406.0,,,,,,,,,,-3.90625,3.125,9.375,9.375
10.9357839352,249,1008,67200,42.2428002778,-83.7826666667,78.0,22.8600006104,1406.0,,,,,,,,,,-3.90625,3.125,9.375,9.375
10.9357839352,249,1008,68000,42.2428002778,-83.7826666667,77.0,22.8600006104,1406.0,,,,,,,,,,-3.90625,3.125,9.375,9.375
10.9357839352,249,1008,68500,42.2428002778,-83.7826666667,77.0,23.4099998474,1290.0,,,,,,,,,,-3.90625,3.125,9.375,9.375
10.9357839352,249,1008,69400,42.2428002778,-83.7826666667,77.0,23.4099998474,1290.0,,,,,,,,,,3.90625,3.125,9.375,9.375
10.9357839352,249,1008,69900,42.2428002778,-83.7826666667,77.0,23.4099998474,1290.0,,,,,,,,,,3.90625,-1.5625,9.375,9.375
10.9357839352,249,1008,70800,42.2428002778,-83.7826666667,77.0,27.4599990845,1315.0,,,,,,,,,,3.90625,-1.5625,9.375,9.375
10.9357839352,249,1008,71000,42.2428322222,-83.7816380556,77.0,27.4599990845,1315.0,,,,,,,,,,3.90625,-1.5625,9.375,9.375
10.9357839352,249,1008,72900,42.2428322222,-83.7816380556,77.0,27.9899997711,1299.0,,,,,,,,,,3.90625,-1.5625,9.375,9.375
10.9357839352,249,1008,74100,42.2428586111,-83.7808636111,77.0,27.9899997711,1299.0,,,,,,,,,,3.90625,-1.5625,9.375,9.375
