filename,VehId,DayNum,Trip,Vehicle Type,Vehicle Class,Engine Configuration & Displacement,Transmission,Drive Wheels,Generalized_Weight,Absolute Load[%]_mean,Absolute Load[%]_median,Absolute Load[%]_std,Absolute Load[%]_min,Absolute Load[%]_max,Absolute Load[%]_q25,Absolute Load[%]_q75,Absolute Load[%]_range,Air Conditioning Power[Watts]_mean,Air Conditioning Power[Watts]_median,Air Conditioning Power[Watts]_std,Air Conditioning Power[Watts]_min,Air Conditioning Power[Watts]_max,Air Conditioning Power[Watts]_q25,Air Conditioning Power[Watts]_q75,Air Conditioning Power[Watts]_range,Air Conditioning Power[kW]_mean,Air Conditioning Power[kW]_median,Air Conditioning Power[kW]_std,Air Conditioning Power[kW]_min,Air Conditioning Power[kW]_max,Air Conditioning Power[kW]_q25,Air Conditioning Power[kW]_q75,Air Conditioning Power[kW]_range,Engine RPM[RPM]_mean,Engine RPM[RPM]_median,Engine RPM[RPM]_std,Engine RPM[RPM]_min,Engine RPM[RPM]_max,Engine RPM[RPM]_q25,Engine RPM[RPM]_q75,Engine RPM[RPM]_range,Heater Power[Watts]_mean,Heater Power[Watts]_median,Heater Power[Watts]_std,Heater Power[Watts]_min,Heater Power[Watts]_max,Heater Power[Watts]_q25,Heater Power[Watts]_q75,Heater Power[Watts]_range,OAT[DegC]_mean,OAT[DegC]_median,OAT[DegC]_std,OAT[DegC]_min,OAT[DegC]_max,OAT[DegC]_q25,OAT[DegC]_q75,OAT[DegC]_range,Vehicle Speed[km/h]_mean,Vehicle Speed[km/h]_median,Vehicle Speed[km/h]_std,Vehicle Speed[km/h]_min,Vehicle Speed[km/h]_max,Vehicle Speed[km/h]_q25,Vehicle Speed[km/h]_q75,Vehicle Speed[km/h]_range,Vehicle_Class_encoded,Transmission_encoded,VehicleType_EV,VehicleType_HEV,VehicleType_ICE,VehicleType_PHEV,DriveWheels_FWD,Y_consumption_combustion_L_per_100km,Y_consumption_electric_kWh_per_km
Trip_433_VED_180117_week,428,83.9211501296,433,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000,22.041493716864647,13.7254905701,21.63963391811261,0.0,55.2941169739,0.0,43.9215698242,55.2941169739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797.0479797979798,968.0,817.7534457734162,0.0,2945.0,0.0,1316.0,2945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.44444444444444,46.0,19.94104951657377,0.0,71.0,25.0,56.0,71.0,1,18,False,True,False,False,False,4.483021682207078,0.0
Trip_456_VED_171129_week,372,34.5099771296,456,HEV,NO DATA,4-GAS/ELECTRIC 1.5L,NO DATA,NO DATA,3000,29.20312225564932,15.6862745285,17.596991052504386,0.0,61.1764717102,15.2941179276,46.6666679382,61.1764717102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1391.1087378640775,1312.0,404.0958151748037,0.0,2835.0,1280.0,1400.0,2835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.19223300970874,45.0,16.06177089562597,0.0,66.0,39.0,57.0,66.0,1,18,False,True,False,False,False,4.6432733507596895,0.0
Trip_508_VED_171115_week,557,20.7062738426,508,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4500,29.174022722585537,24.3137264252,16.189580963060365,9.41176509857,75.2941207886,15.2941179276,41.5686264038,65.88235569003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1334.3534743202415,1254.0,491.1704102506173,605.0,2908.0,1023.0,1581.0,2303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.69989929506546,41.0,17.321455846756606,0.0,72.0,28.0,51.0,72.0,1,18,False,False,True,False,False,12.921950859994691,
Trip_682_VED_180103_week,162,66.6543851574,682,ICE,NO DATA,4-FI 2.5L,NO DATA,NO DATA,3500,28.99416304271611,20.0,17.604975453056344,7.4509806633,65.490196228,14.9019613266,46.2745094299,58.0392155647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1358.003816793893,1426.5,513.9221135541219,589.0,2226.0,828.0,1746.0,1637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.87786259541985,43.0,23.332421218878995,0.0,72.0,10.0,56.0,72.0,1,18,False,False,True,False,False,10.377303234478354,
Trip_969_VED_180418_week,258,175.89227363,969,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000,24.61708209014494,32.5490188599,20.93059779482735,0.0,58.0392150879,0.0,44.3137245178,58.0392150879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963.0337552742616,1024.0,894.9415947501302,0.0,3072.0,0.0,1738.0,3072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.424753867791843,16.0,0.4946535733657139,16.0,17.0,16.0,17.0,1.0,38.77918424753868,42.0,16.95413580881525,0.0,67.0,27.0,53.0,67.0,1,18,False,True,False,False,False,5.172288705620931,0.0
Trip_1845_VED_180801_week,540,276.005447824,1845,ICE,NO DATA,4-FI S/C 1.8L GAS,NO DATA,NO DATA,3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1331.6743215031315,1467.0,375.4493631044716,626.0,2042.0,1129.0,1563.0,1416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.659707724425886,49.0,22.824853056902864,0.0,63.0,15.0,55.0,63.0,1,18,False,False,True,False,False,6.78038297346748,
Trip_841_VED_180425_week,581,176.468559324,841,ICE,NO DATA,4-FI 2.5L,AUTOMATIC/CVT,NO DATA,3500,31.94316829553965,19.607843399,19.93159658962324,12.1568632126,71.3725509644,13.7254905701,49.4117660522,59.2156877518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1401.33984375,1306.0,549.1907564953514,636.0,2620.0,1172.0,1807.25,1984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,42.134765625,49.0,28.918256517695507,0.0,80.0,8.25,71.0,80.0,1,12,False,False,True,False,False,10.153900501961491,
Trip_566_VED_171129_week,490,31.7689083241,566,ICE,NO DATA,6-FI 3.6L,AUTOMATIC/CVT,NO DATA,3500,30.183473927642144,22.745098114,14.565686220060774,11.372549057,60.7843132019,21.5686283112,39.2156867981,49.4117641449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1062.2571428571428,1159.5,295.98443656237737,691.0,1731.0,710.0,1252.5,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.989285714285714,37.0,30.26329903208128,0.0,78.0,0.0,64.0,78.0,1,12,False,False,True,False,False,13.50293746486115,
Trip_3355_VED_180704_week,371,250.653212102,3355,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.692916093535075,23.5,0.6111126756306066,23.0,25.0,23.25,24.0,2.0,42.24310777288108,50.6199989319,22.788418706556985,0.0,71.6399993896,28.4200000763,59.5749988556,71.6399993896,0,14,False,False,False,True,True,0.6051014680356211,0.1354061546244835
Trip_1327_VED_180314_week,273,138.862149102,1327,ICE,NO DATA,4-FI 2.0L,NO DATA,NO DATA,3000,24.19395348121675,17.6470584869,13.176445660841525,10.5882358551,51.764705658,14.117647171,36.0784301758,41.1764698029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1387.8866995073893,1286.0,490.0499186236166,760.0,2720.0,928.0,1607.0,1960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.438423645320197,3.0,0.4974205522239352,3.0,4.0,3.0,4.0,1.0,21.876847290640395,14.0,21.030614316421413,0.0,64.0,0.0,43.0,64.0,1,18,False,False,True,False,False,10.34247435329465,
