filename,VehId,DayNum,Trip,Vehicle Type,Vehicle Class,Engine Configuration & Displacement,Transmission,Drive Wheels,Generalized_Weight,Absolute Load[%]_mean,Absolute Load[%]_median,Absolute Load[%]_std,Absolute Load[%]_min,Absolute Load[%]_max,Absolute Load[%]_q25,Absolute Load[%]_q75,Absolute Load[%]_range,Air Conditioning Power[Watts]_mean,Air Conditioning Power[Watts]_median,Air Conditioning Power[Watts]_std,Air Conditioning Power[Watts]_min,Air Conditioning Power[Watts]_max,Air Conditioning Power[Watts]_q25,Air Conditioning Power[Watts]_q75,Air Conditioning Power[Watts]_range,Air Conditioning Power[kW]_mean,Air Conditioning Power[kW]_median,Air Conditioning Power[kW]_std,Air Conditioning Power[kW]_min,Air Conditioning Power[kW]_max,Air Conditioning Power[kW]_q25,Air Conditioning Power[kW]_q75,Air Conditioning Power[kW]_range,Engine RPM[RPM]_mean,Engine RPM[RPM]_median,Engine RPM[RPM]_std,Engine RPM[RPM]_min,Engine RPM[RPM]_max,Engine RPM[RPM]_q25,Engine RPM[RPM]_q75,Engine RPM[RPM]_range,Heater Power[Watts]_mean,Heater Power[Watts]_median,Heater Power[Watts]_std,Heater Power[Watts]_min,Heater Power[Watts]_max,Heater Power[Watts]_q25,Heater Power[Watts]_q75,Heater Power[Watts]_range,OAT[DegC]_mean,OAT[DegC]_median,OAT[DegC]_std,OAT[DegC]_min,OAT[DegC]_max,OAT[DegC]_q25,OAT[DegC]_q75,OAT[DegC]_range,Vehicle Speed[km/h]_mean,Vehicle Speed[km/h]_median,Vehicle Speed[km/h]_std,Vehicle Speed[km/h]_min,Vehicle Speed[km/h]_max,Vehicle Speed[km/h]_q25,Vehicle Speed[km/h]_q75,Vehicle Speed[km/h]_range,Vehicle_Class_encoded,Transmission_encoded,VehicleType_EV,VehicleType_HEV,VehicleType_ICE,VehicleType_PHEV,DriveWheels_FWD,Y_consumption_combustion_L_per_100km,Y_consumption_electric_kWh_per_km
Trip_1346_VED_180829_week,439,307.893695824,1346,HEV,NO DATA,4-GAS/ELECTRIC 2.0L,CVT,NO DATA,3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.9678653404744,320.0,87.20893681437848,0.0,360.0,280.0,320.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1611.831675592961,2036.0,1325.0124131778998,0.0,5410.0,0.0,2818.0,5410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.27352716143841,26.0,0.8539898431536664,25.25,28.0,25.5,27.0,2.75,79.27129119476642,105.040000916,45.71149557474919,0.0,130.869995117,43.79499816895,119.229995728,130.869995117,1,14,False,True,False,False,False,6.651137403989559,0.0096585098516801
Trip_893_VED_180117_week,561,78.7976123241,893,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801.9864472410455,28.0,883.5505341109657,0.0,2332.0,0.0,1858.0,2332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.495159728944821,-6.5,0.4889533579838135,-7.25,-5.5,-7.0,-6.25,1.75,41.09148987542892,50.0200004578,22.24758443059033,0.0,70.939994812,27.359998703,57.4899978638,70.939994812,0,14,False,False,False,True,True,6.322948698939666,0.0016971414375382
Trip_2121_VED_180314_week,10,138.990324481,2121,EV,Car,ELECTRIC,NO DATA,FWD,3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.5720164609054,400.0,216.48211268419885,400.0,850.0,400.0,850.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1077.1604938271605,750.0,602.3690027099127,0.0,1750.0,750.0,1750.0,1750.0,3.360082304526749,3.0,0.4517676546971401,3.0,4.0,3.0,4.0,1.0,23.2628800191979,22.9599990845,17.36365375243213,0.0,53.969997406,6.109999895095,39.76000022885,53.969997406,0,18,True,False,False,False,True,,0.3020281341306868
Trip_606_VED_171108_week,398,13.6749398704,606,PHEV,Car,4-GAS/ELECTRIC 1.8L,CVT,FWD,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1210.452479338843,1275.0,1160.8300571512843,0.0,3697.0,0.0,2159.0,3697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4455922865013774,0.0,0.4972022280431379,0.0,1.0,0.0,1.0,1.0,69.30096418732782,58.0,30.433390095447468,0.0,115.0,47.0,105.0,115.0,0,14,False,False,False,True,True,4.5679972313407005,0.0369149316686033
Trip_2552_VED_180808_week,569,283.562782593,2552,PHEV,Car,4-GAS/ELECTRIC 1.4L,NO DATA,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,21.5,0.0,21.5,21.5,21.5,21.5,0.0,24.367937646370024,24.5625,16.40562770559969,0.0,51.65625,8.7890625,39.46484375,51.65625,0,18,False,False,False,True,True,0.0,0.1464398520744358
Trip_1204_VED_180307_week,455,131.609738759,1204,EV,Car,ELECTRIC,NO DATA,FWD,3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713.2674664784756,700.0,134.6043890322849,500.0,950.0,550.0,850.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.9498941425547,500.0,238.3290902428648,250.0,1000.0,250.0,500.0,750.0,-0.2755822159491884,-0.5,0.2487754539000285,-0.5,0.0,-0.5,0.0,0.5,25.160112381654983,28.1700000763,19.10806314361033,0.0,57.8099975586,0.0,40.9199981689,57.8099975586,0,18,True,False,False,False,True,,0.2197185869636873
Trip_1250_VED_180822_week,560,298.573065713,1250,PHEV,Car,4-GAS/ELECTRIC 1.8L,CVT,FWD,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.2116182572614,0.0,811.6587233649396,0.0,4166.0,0.0,1194.0,4166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.32918395573997,21.0,0.7566583048895456,19.0,21.0,20.0,21.0,2.0,38.39073305670816,43.0,18.029584219940205,0.0,68.0,24.0,53.0,68.0,0,14,False,False,False,True,True,3.3207507021588074,0.0107242784260906
Trip_1071_VED_180221_week,388,119.632949898,1071,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.475,0.0,328.07322525215113,0.0,1202.0,0.0,0.0,1202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56875,4.75,0.3829106471153832,4.0,5.0,4.25,5.0,1.0,51.87114469083206,59.42999839785,24.94967139391236,0.0,80.6500015259,38.5799980164,71.5899963379,80.6500015259,0,14,False,False,False,True,True,0.7078887720151819,0.1766661391059044
Trip_2207_VED_180926_week,455,334.537963426,2207,EV,Car,ELECTRIC,NO DATA,FWD,3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.36398467432952,0.0,170.921923003608,0.0,400.0,0.0,350.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.475862068965515,11.5,0.319952133081665,11.0,12.0,11.5,11.5,1.0,46.71038207642212,51.6800003052,20.02289222483343,0.0,78.6399993896,35.7999992371,59.5,78.6399993896,0,18,True,False,False,False,True,,0.088454765953252
Trip_1286_VED_180425_week,398,181.761854,1286,PHEV,Car,4-GAS/ELECTRIC 1.8L,CVT,FWD,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.56,0.0,543.7937204152291,0.0,1660.0,0.0,0.0,1660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.190927835051546,9.0,0.3931133728525199,9.0,10.0,9.0,9.0,1.0,36.46474226804124,40.0,16.911183679512508,0.0,61.0,26.0,51.0,61.0,0,14,False,False,False,True,True,1.3531439401134362,0.0724092930514001
