filename,VehId,DayNum,Trip,Vehicle Type,Vehicle Class,Engine Configuration & Displacement,Transmission,Drive Wheels,Generalized_Weight,Absolute Load[%]_mean,Absolute Load[%]_median,Absolute Load[%]_std,Absolute Load[%]_min,Absolute Load[%]_max,Absolute Load[%]_q25,Absolute Load[%]_q75,Absolute Load[%]_range,Air Conditioning Power[Watts]_mean,Air Conditioning Power[Watts]_median,Air Conditioning Power[Watts]_std,Air Conditioning Power[Watts]_min,Air Conditioning Power[Watts]_max,Air Conditioning Power[Watts]_q25,Air Conditioning Power[Watts]_q75,Air Conditioning Power[Watts]_range,Air Conditioning Power[kW]_mean,Air Conditioning Power[kW]_median,Air Conditioning Power[kW]_std,Air Conditioning Power[kW]_min,Air Conditioning Power[kW]_max,Air Conditioning Power[kW]_q25,Air Conditioning Power[kW]_q75,Air Conditioning Power[kW]_range,Engine RPM[RPM]_mean,Engine RPM[RPM]_median,Engine RPM[RPM]_std,Engine RPM[RPM]_min,Engine RPM[RPM]_max,Engine RPM[RPM]_q25,Engine RPM[RPM]_q75,Engine RPM[RPM]_range,Heater Power[Watts]_mean,Heater Power[Watts]_median,Heater Power[Watts]_std,Heater Power[Watts]_min,Heater Power[Watts]_max,Heater Power[Watts]_q25,Heater Power[Watts]_q75,Heater Power[Watts]_range,OAT[DegC]_mean,OAT[DegC]_median,OAT[DegC]_std,OAT[DegC]_min,OAT[DegC]_max,OAT[DegC]_q25,OAT[DegC]_q75,OAT[DegC]_range,Vehicle Speed[km/h]_mean,Vehicle Speed[km/h]_median,Vehicle Speed[km/h]_std,Vehicle Speed[km/h]_min,Vehicle Speed[km/h]_max,Vehicle Speed[km/h]_q25,Vehicle Speed[km/h]_q75,Vehicle Speed[km/h]_range,Vehicle_Class_encoded,Transmission_encoded,VehicleType_EV,VehicleType_HEV,VehicleType_ICE,VehicleType_PHEV,DriveWheels_FWD,Y_consumption_combustion_L_per_100km,Y_consumption_electric_kWh_per_km
Trip_1708_VED_180725_week,398,269.682697935,1708,PHEV,Car,4-GAS/ELECTRIC 1.8L,CVT,FWD,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.17231000752445,29.0,0.377791824764792,29.0,30.0,29.0,29.0,1.0,37.887133182844245,40.0,17.377910391106152,0.0,70.0,28.0,50.0,70.0,0,14,False,False,False,True,True,0.1904199911357022,0.0895047752819371
Trip_1419_VED_180509_week,388,194.522273185,1419,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.225352112676056,0.0,45.55790535092689,0.0,160.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.1021126760563,0.0,624.4807902611772,0.0,2056.0,0.0,1154.0,2056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.087147887323944,8.0,0.6538583278599671,7.25,9.25,7.5,8.75,2.0,39.34651327214653,42.25,26.888360133348275,0.0,80.0499954224,11.7100000381,66.56249809265,80.0499954224,0,14,False,False,False,True,True,2.226512917611614,0.2155471820893612
Trip_38_VED_171108_week,560,10.9497423241,38,PHEV,Car,4-GAS/ELECTRIC 1.8L,CVT,FWD,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.4013190034196,0.0,792.0528251935671,0.0,3360.0,0.0,1281.75,3360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.399853444064485,5.0,1.2028998182111597,4.0,7.0,4.0,7.0,3.0,30.92647777234978,33.0,19.820751044156445,0.0,64.0,13.0,49.75,64.0,0,14,False,False,False,True,True,4.469476775601454,0.000864730371061
Trip_1523_VED_180523_week,431,206.892846778,1523,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.2673796791444,1200.0,217.90036881108617,880.0,1600.0,1040.0,1480.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1236.4402852049911,900.0,1287.8861195780787,0.0,3348.0,0.0,2578.0,3348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.33065953654189,27.75,1.6791807271140566,27.0,33.5,27.25,28.75,6.5,64.14743184596882,73.3799972534,34.81664131249677,0.0,110.909996033,41.5999984741,90.7900009155,110.909996033,0,14,False,False,False,True,True,7.441642505630527,0.0213495108617945
Trip_3105_VED_180606_week,371,221.908488907,3105,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.811589805825243,28.5,0.6887719691312637,27.75,29.75,28.25,29.75,2.0,38.94129759765861,45.32999801635,21.002432044792062,0.0,68.189994812,25.5699996948,55.3899993896,68.189994812,0,14,False,False,False,True,True,0.6405090886152366,0.1520330543012892
Trip_1893_VED_180110_week,11,77.8588231944,1893,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879.3716814159292,710.0,912.1444310134452,0.0,2422.0,0.0,1866.0,2422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.751659292035399,-8.25,0.9482731937065858,-8.75,-6.25,-8.75,-7.0,2.5,44.94381528565172,51.48999786375,17.19814564203652,0.0,69.4499969482,36.3999977112,56.2599983215,69.4499969482,0,14,False,False,False,True,True,6.5629760951575005,0.0114066060144949
Trip_2217_VED_180912_week,431,322.613088352,2217,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1973.320235756385,2040.0,146.1460914373773,1520.0,2080.0,1960.0,2040.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.3064833005894,277.0,1091.1283337378586,0.0,3282.0,0.0,2127.5,3282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.93835952848723,27.0,0.5983175036834011,26.0,28.25,26.5,27.25,2.25,31.376197732503407,31.63999843595,22.27564088960036,0.0,68.4300003052,10.0399999619,52.5299987793,68.4300003052,0,14,False,False,False,True,True,9.523606227576469,0.0301375521373662
Trip_1469_VED_181003_week,560,339.586802565,1469,PHEV,Car,4-GAS/ELECTRIC 1.8L,CVT,FWD,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.8529839883552,0.0,880.2169567616247,0.0,3716.0,0.0,1332.0,3716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.824599708879184,18.0,0.3804475934117115,17.0,18.0,18.0,18.0,1.0,40.59679767103348,44.0,20.99208441512156,0.0,73.0,24.0,59.0,73.0,0,14,False,False,False,True,True,2.8950199342545995,0.0586572049183202
Trip_2473_VED_180905_week,561,314.149602241,2473,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.784116331096197,17.75,0.2468057184708592,17.5,18.25,17.75,17.75,0.75,26.328947976733705,29.8999996185,13.584392661135674,0.0,50.6599998474,17.54999923705,36.375,50.6599998474,0,14,False,False,False,True,True,0.9374306716242076,0.0701970925615672
Trip_1391_VED_180404_week,561,158.920110231,1391,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.4875,0.0,815.1313873128646,0.0,2562.0,0.0,1524.0,2562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.249609375,6.25,0.522269672440438,5.25,7.25,5.75,6.75,2.0,39.76512933598439,43.5,19.77172945895675,0.0,80.439994812,28.7899990082,53.2799987793,80.439994812,0,14,False,False,False,True,True,4.897351182470411,0.012321333831592
