filename,VehId,DayNum,Trip,Y_consumption_combustion_L_per_100km,Y_consumption_electric_kWh_per_km
Trip_881_VED_180606_week,560,221.578853046,881,1.5398190169811765,0.07705000283925388
Trip_883_VED_180606_week,560,221.912321519,883,3.1180476774421253,0.057602710096395365
Trip_894_VED_180606_week,560,223.578615648,894,2.1628438367273595,0.06159163152793529
Trip_895_VED_180606_week,560,223.911278241,895,3.620459859460507,0.0022494742137321145
Trip_89_VED_171122_week,560,24.94484,89,4.4169510086639905,9.961125366884042e-06
Trip_8_VED_171101_week,560,3.63536432407,8,4.036477448524366,0.017441829536135975
Trip_913_VED_180613_week,560,226.58317488,913,3.2676030909100167,0.026615401390597124
Trip_919_VED_180613_week,560,227.573738204,919,1.8498056532185625,0.009614817791819429
Trip_920_VED_180613_week,560,227.590820583,920,4.439590425845399,0.00558234029749164
Trip_926_VED_180613_week,560,228.911977991,926,2.379667149605492,0.0631443394206964
Trip_92_VED_171122_week,560,26.6155266389,92,4.053793475976952,0.0032235872904987682
Trip_931_VED_180613_week,560,229.993120037,931,2.4804522770840447,0.05691920069573674
Trip_935_VED_180613_week,560,230.583321889,935,1.7646385080830447,0.0693245815338451
Trip_936_VED_180613_week,560,230.909438824,936,3.3220989092180906,0.014573711590978112
Trip_949_VED_180620_week,560,234.579144213,949,2.4283587408205958,0.06805681845709813
Trip_950_VED_180620_week,560,234.912167,950,3.8050378668448874,0.004301246161121738
Trip_952_VED_180620_week,560,235.568614898,952,1.7795337534492188,0.07936545381457062
Trip_968_VED_180620_week,560,237.576702306,968,1.4784282110382228,0.08070125168129948
Trip_970_VED_180620_week,560,237.912965611,970,3.675158077957387,0.003897224814410274
Trip_977_VED_180620_week,560,238.706837065,977,4.838628615908265,0.0067283711229486195
Trip_986_VED_180627_week,560,240.564292824,986,1.7571725284001263,0.07172366265117962
Trip_98_VED_171122_week,560,27.6291234537,98,4.412812397422536,0.003568166743619443
Trip_991_VED_180627_week,560,240.914276583,991,3.8813233032374037,0.004716439853104806
Trip_995_VED_180627_week,560,241.60086238,995,4.121097080226481,0.004182099042568406
Trip_997_VED_180627_week,560,241.911456204,997,2.24429414503779,0.07461902294520499
Trip_999_VED_180627_week,560,242.592136278,999,3.840049853079518,0.006994259443536314
Trip_99_VED_171122_week,560,27.9534836667,99,4.962723756399181,0.00450746870247614
Trip_1011_VED_180131_week,561,95.7913599537,1011,5.722313713812449,0.032657860571952
Trip_1012_VED_180131_week,561,96.1611493796,1012,8.229266627954374,0.002842366505790229
Trip_1015_VED_180131_week,561,96.7916825556,1015,3.460381066595444,0.18886581994433815
Trip_1018_VED_180131_week,561,97.1544830648,1018,0.5925638665847768,0.2891237984419306
Trip_1035_VED_180207_week,561,99.787715,1035,6.02296691867882,0.017696042387599024
Trip_1037_VED_180207_week,561,100.152515102,1037,1.110939435021949,0.3009940734266268
Trip_1047_VED_180207_week,561,101.791408213,1047,6.182230374382418,0.005901925211810733
Trip_1048_VED_180207_week,561,102.169744028,1048,6.312665664408007,0.0006732472951286832
Trip_1052_VED_180207_week,561,102.78407762,1052,5.431382470708876,0.0071378826559442745
Trip_1062_VED_180214_week,561,106.793000185,1062,5.326563682953764,0.006817055331136241
Trip_1064_VED_180214_week,561,107.15423275,1064,2.4042705019118116,0.2714134746595184
Trip_1070_VED_180214_week,561,107.795388685,1070,6.655256963022883,0.00821612577713251
Trip_1082_VED_180214_week,561,108.858855472,1082,4.3107575521034915,0.0071730615133460355
Trip_1090_VED_180214_week,561,109.792189444,1090,3.4694340214089294,0.1535757446012657
Trip_1092_VED_180214_week,561,110.790748861,1092,0.6572102915857087,0.30222424644017604
Trip_1095_VED_180214_week,561,111.15384125,1095,3.5181216470877277,0.2033876333025534
Trip_1106_VED_180221_week,561,113.752713991,1106,5.501901760386634,0.006888427157458191
Trip_1123_VED_180221_week,561,117.157497963,1123,0.5650953118316523,0.14572795950556885
Trip_1126_VED_180221_week,561,118.155859278,1126,0.5470806892422228,0.14226331956878008
Trip_1128_VED_180221_week,561,118.799067611,1128,5.7926418385436635,0.007161219531744999
Trip_1147_VED_180228_week,561,120.69081987,1147,0.7366093791561702,0.14140544242572822
Trip_1149_VED_180228_week,561,120.784458778,1149,1.1309525974629993,0.22586969908404292
Trip_1158_VED_180228_week,561,121.788660806,1158,0.6754729550884726,0.1427049258530155
Trip_1165_VED_180228_week,561,122.773687148,1165,0.5719201150342988,0.1089045474910816
Trip_1167_VED_180228_week,561,122.801343546,1167,0.47541112494292,0.16811902135405946
Trip_1173_VED_180228_week,561,123.793696481,1173,2.7946227670323993,0.21830327501347976
Trip_1175_VED_180228_week,561,124.154164019,1175,0.7345525808844887,0.2754684178320968
Trip_1199_VED_180307_week,561,128.151252537,1199,1.679589859906085,0.14197544443869536
Trip_1203_VED_180307_week,561,128.714743111,1203,2.807156329042311,0.09796985262143663
Trip_1214_VED_180307_week,561,129.791917528,1214,2.85826330954412,0.2544788356132183
Trip_1217_VED_180307_week,561,130.156937,1217,3.264939174568403,0.22752389464572542
Trip_1224_VED_180307_week,561,131.154692019,1224,7.75792785247966,0.0022051847059594456
Trip_1227_VED_180307_week,561,131.879430278,1227,8.178635477272852,0.09637384944076274
Trip_1230_VED_180307_week,561,132.728936491,1230,0.32441073074970295,0.1879985157542611
Trip_1247_VED_180314_week,561,136.153297269,1247,3.956119885716003,0.18748166117631992
Trip_1248_VED_180314_week,561,136.71544,1248,5.263177706672814,0.005234095224278107
Trip_1258_VED_180314_week,561,137.791796704,1258,6.390968321832324,0.011118571270652043
Trip_1260_VED_180314_week,561,138.153068602,1260,1.0497026753371022,0.25453875770293655
Trip_1273_VED_180314_week,561,140.63672637,1273,5.271632861966526,0.0427365316502643
Trip_1285_VED_180321_week,561,144.792486074,1285,0.5897291885668356,0.1349691154774924
Trip_1303_VED_180321_week,561,145.153621157,1303,0.5935891314507765,0.14549087716521136
Trip_1320_VED_180328_week,561,148.794334509,1320,0.7650957496323814,0.1134643956480364
Trip_1337_VED_180328_week,561,150.729263926,1337,5.484115637376831,0.01303673633270654
Trip_1338_VED_180328_week,561,150.7929005,1338,4.872726599478937,0.009466173038963134
Trip_1342_VED_180328_week,561,151.793608065,1342,1.5084708344265598,0.2866038889842974
Trip_1348_VED_180328_week,561,152.794189556,1348,0.5279953689801893,0.17222536252878823
Trip_1350_VED_180328_week,561,153.156716787,1350,0.6852399124664647,0.15503370075079556
Trip_1361_VED_180404_week,561,155.786814574,1361,4.148812454545045,0.04305695478374727
Trip_1363_VED_180404_week,561,156.153584324,1363,1.0117598311995903,0.1656596371012676
Trip_1372_VED_180404_week,561,157.157058639,1372,4.520980399857482,0.02897364277282482
Trip_1377_VED_180404_week,561,157.791804639,1377,6.586667631961529,0.013382133169088564
Trip_1379_VED_180404_week,561,158.156641991,1379,0.5136673235591844,0.23378716968225943
Trip_1389_VED_180404_week,561,158.829926056,1389,4.812296087457462,0.02313238174533595
Trip_1391_VED_180404_week,561,158.920110231,1391,4.897351182470411,0.012321333831592006
Trip_1395_VED_180404_week,561,159.49770587,1395,1.5304827177903368,0.2482600479252513
Trip_1396_VED_180404_week,561,159.548738259,1396,7.000113245306984,0.03266547724987301
Trip_1400_VED_180404_week,561,159.792320954,1400,5.0109940087813065,0.010177048087294091
Trip_1403_VED_180404_week,561,160.15425887,1403,0.6002156254165015,0.24906325441917432
Trip_1412_VED_180404_week,561,161.702200194,1412,5.536107716342123,0.023257596253860962
Trip_1419_VED_180411_week,561,162.538366167,1419,1.967994347501184,0.2551631452281564
Trip_1420_VED_180411_week,561,162.64451088,1420,7.7133650724527145,0.0106905478473177
Trip_1425_VED_180411_week,561,162.788626083,1425,5.238110088549829,0.014349292301560979
Trip_1433_VED_180411_week,561,163.789826333,1433,3.422011203096076,0.07078509455861026
Trip_1434_VED_180411_week,561,164.157175231,1434,5.211365611639518,0.028433121378215815
Trip_1442_VED_180411_week,561,165.153369926,1442,0.5136115396847762,0.13390697523317688
Trip_1447_VED_180411_week,561,165.795343731,1447,0.5933552101919212,0.14969515802869687
Trip_1449_VED_180411_week,561,166.158151787,1449,0.5610435204158426,0.14006566363314454
Trip_1452_VED_180411_week,561,166.580895481,1452,0.37302577456028296,0.17121517668570208
Trip_1464_VED_180411_week,561,167.716637565,1464,6.755317533926536,0.02871732337724398
Trip_1471_VED_180418_week,561,169.717680722,1471,0.3129518292896438,0.17743105531868344
Trip_1493_VED_180418_week,561,171.791805278,1493,3.723170487817646,0.05337334846679832
Trip_1502_VED_180418_week,561,173.158244528,1502,0.5051412373641163,0.1403744423238997
Trip_1505_VED_180418_week,561,173.793556287,1505,0.8605254709820327,0.14779567120129516
Trip_1507_VED_180418_week,561,174.614294898,1507,6.13019656798927,0.00025758702863102625
Trip_1522_VED_180425_week,561,176.790806056,1522,0.6646767788885529,0.13383108167749644
Trip_1528_VED_180425_week,561,177.71786563,1528,0.41535604466539133,0.16047628134025235
Trip_1539_VED_180425_week,561,179.170235361,1539,5.475645238518621,0.025904631693923482
Trip_1550_VED_180425_week,561,180.155063843,1550,0.7715405132641182,0.13086172977673086
Trip_1556_VED_180425_week,561,182.702366917,1556,0.3205868153585437,0.17807350061967192
Trip_1566_VED_180502_week,561,183.792649028,1566,5.054366085924992,0.003872854840873914
Trip_1569_VED_180502_week,561,184.158865667,1569,0.5368834557762392,0.12344783383448321
Trip_1577_VED_180502_week,561,184.770361185,1577,0.39537381833063295,0.12094686452102317
Trip_1599_VED_180502_week,561,186.790941907,1599,5.216925492263819,0.0021399076770823302
Trip_1601_VED_180502_week,561,187.155683657,1601,0.5918919143188663,0.11939762280838082
Trip_1615_VED_180502_week,561,188.796235102,1615,0.5608316070405567,0.12441233798799901
Trip_1622_VED_180502_week,561,189.649551602,1622,5.593355769564906,0.02415992018036871
